"Officer.number";"Years.employed";"Age";"Officer.sex";"Officer.race";"Officer.department";"Officer.division";"Officer.sub.division.A";"Officer.sub.division.B"
"553";"8d29edb8c6aa9dbc97cf0c4f1bf4b43b";"12";"40";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"554";"d0e6f0595bf920c314923b044733bce6";"15";"51";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"555";"491da16800c26563112aff6341f72fc0";"22";"55";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"556";"195027cf9820793f64c61e954ab5a8c7";"20";"44";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"557";"ac7f6f3a139109f1393bc712f37196a7";"22";"45";"F";"Asian / Pacific Islander";"NULL";"NULL";"NULL";"NULL"
"558";"253243c5a5f3625fcdec519c8b16b8f1";"30";"72";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"559";"42abbb70835a094617c494eb427e2b3b";"10";"37";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"560";"b6b0b37ee3536ff7830350a307fc2ebc";"12";"52";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"561";"3a9460457997c11c4cdacff8024c70b0";"11";"33";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"562";"6bd8e5d2176eb2e0ff7014435dd841c9";"21";"56";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"563";"2c76b47a6643b2417d172d761b1aff19";"12";"33";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"564";"5fdd28a7402aacbba207d59e1319ada1";"10";"46";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"565";"014190e2b34940e370b7d752103e7209";"16";"56";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"566";"08e0460b0ed57c86ff6a9848ed8b8fdd";"28";"45";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"567";"4081fd272ae95d8d57db230c14c92c4b";"28";"56";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"568";"9614164cec297a16bf8f2261a77e7e16";"42";"72";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"569";"19074fefec837da04af22bb345a7a8cb";"12";"33";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"3rd Platoon";""
"570";"b24fe93b8f06d07f03053e651b304f28";"18";"38";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"3rd Platoon";""
"571";"c58023ec101ac4c0741cbc8ad9c64547";"19";"44";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"572";"517836701530e48a31851872c14bfb83";"21";"44";"F";"Black / African American";"FOB - Field Operations Bureau";"Third District";"Staff";""
"573";"ce26bc84ed84b4ce90d970499f2349ae";"31";"51";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"574";"f67a37feea06189ca661acda46299017";"28";"45";"F";"Black / African American";"FOB - Field Operations Bureau";"First District";"Staff";"NULL"
"575";"73e2ce339ad6bb45f2eded54f2d3686e";"18";"44";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"576";"afc769c63c09c73d35b47473a3f02d9e";"53";"75";"M";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"577";"5ca3b5e6c549c1f33f0887a8fe15e154";"31";"61";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"578";"f61889b0f3550ac397ccd26eb3205e1e";"19";"65";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"579";"d5dc09e467c0987535c960808cedac4e";"21";"64";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"580";"e229028a739acc9602d3008bdcef2502";"14";"38";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"3rd Platoon";""
"581";"22156b0c5b6aa635692b92eb2dfdf860";"31";"51";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"3rd Platoon";""
"582";"06d3419f4eefda9541076eb242f1b5d5";"27";"60";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"3rd Platoon";""
"583";"9fcc70867e44e5ea99caad13d3cb16f6";"29";"55";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"584";"2a12a01e11de3a6ec09710e5fe4eb0b7";"40";"70";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"585";"976252f13cc434c27da4e23ab895b3c4";"22";"55";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"586";"c66e7d756784d3eadd21ec11aa3fa7f6";"40";"66";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"587";"bc264b065a2a388ddb60585b0ece6058";"44";"74";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"588";"3a47daa475bff1e5caf07bd48d2978dd";"42";"64";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"589";"7cde5ce010b62cd6f30d83d5f50e9893";"20";"42";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"590";"1f3c6068078d05e64ef7301130430801";"19";"39";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"591";"0b12aa27f4147d00f856efe159fb474f";"41";"58";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"592";"ab1c390e2877e1eb000dfd99fb3ddf1e";"29";"59";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"593";"ef1b2f36993e839498264a8bf2405dfb";"21";"42";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"594";"25817f30420d461c7d01399806b43e75";"43";"68";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"595";"35d85f177f4c2c3ec5d930fb563f02c9";"40";"67";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"596";"a0f7301bfae8c3a21aa41d9ec0e75971";"40";"71";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"597";"8a2b35fded97643063fdc880eb09598c";"25";"55";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"598";"e280665660179b77f11af820abc94c76";"21";"42";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"599";"4b04ade52be14efc0e7c74f6da7a2dea";"20";"41";"F";"Asian / Pacific Islander";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"600";"a58969729b9f8713e03743154dfa7b57";"18";"38";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"601";"a4177f22fb4f938337d00f8f81452f92";"16";"41";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"602";"fad338fdb249c50f5ee1aec07748a560";"29";"48";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"603";"fd8f3242718110157b544a73a3aeac42";"49";"72";"M";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"604";"2729c3e9f93d8b0177bfcf59befacbc0";"25";"43";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"605";"815b302aa6edbcbe4e606226e75bc9b0";"27";"59";"M";"White";"FOB - Field Operations Bureau";"Reserve Division";"";""
"606";"f5be27808374bf2357861063c48e009a";"31";"60";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"607";"653bbf33c341ae86797c342a0c16a6ce";"43";"70";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"608";"a3b304cf7239e444879c2d58946962a0";"34";"50";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"609";"5ac7db4f781e5ebef1cd7ef29fbf1c17";"43";"60";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"610";"ffa84a8dcff02a27eb9f713ea27df6b8";"35";"63";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"611";"b3fceeaab9f144d169a543a648a15c52";"25";"60";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"612";"6b95b4763e9250a4c237fcdeab956bbd";"37";"74";"F";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"613";"bcae57cbc0ea840f585cadb1a96de125";"16";"38";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"614";"b56da7d557568b4261fbca0574b6a02f";"32";"65";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"615";"e5486cb1226609c2c496c9aabdb0c0c1";"29";"59";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"616";"34ab9cbcdc6e18809892f060b7e35ccc";"28";"47";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"617";"2800497a490c286bd7f22ae8ef9b58b2";"15";"42";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"618";"f8e5f9456691e94998235a8ecc9cb32d";"19";"42";"F";"Black / African American";"FOB - Field Operations Bureau";"First District";"Staff";"NULL"
"619";"f77574c77dff91d586ba71893e8c1a17";"19";"42";"M";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"620";"2aa28e0cc09f9e4707e6d20782021a80";"18";"46";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"621";"507ebc466072e69a10c7d4d95ae07852";"12";"34";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"622";"86492c868915e4d628b5cce6ca28d640";"28";"46";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"623";"e80caa4a598467f6339977bf960c6296";"39";"57";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"624";"0d890c12e3143a0e50495c1171ce4bd0";"36";"61";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"625";"c39860c9e1f953514e2bc5e024290fef";"21";"44";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"626";"2fcf02eb8a06a298d6490c120a91c7c5";"35";"53";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"627";"7fe7f14570876dbec7ca0dc3c7b5a0a8";"20";"45";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"628";"c04e761585640c4f35c04981b70163cd";"35";"57";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"629";"466d6ee1f59ffcd56776d415745d6d73";"24";"50";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"630";"2378a547f570037c7fb4b0233f62dc9c";"15";"35";"F";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"631";"1a4ffa8928c2fa43e8a90cf00a813459";"41";"67";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"632";"5d31ea92cc227ff9ea376dfe0fcb0b3b";"19";"40";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"633";"5dc6acc513e6d7b721e5c0498e1e271c";"51";"79";"F";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"634";"90e10a9aab04d283062d4810fdc4e299";"18";"39";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"635";"9db49bf06d22fe7bd0c77e45538dd763";"21";"43";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"3rd Platoon";""
"636";"17f32779817d6c06ffee0408ea607c59";"17";"37";"F";"Black / African American";"FOB - Field Operations Bureau";"Command Staff";"Admin";""
"637";"e0d4379f8d0680cb869f2438980de3e8";"29";"49";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"638";"8cde932de117630ae9d87bc7052f53d4";"41";"59";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"639";"a5a3d0b1fbaeac0d1bc9b1817897de94";"19";"45";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"640";"e35d8afe10176c4f1a953820ba1e714a";"19";"39";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"641";"b60cd9e7adea266f22143c1f855506f1";"22";"48";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"642";"bcb66f3c13c0dccca199c1fad2ddfd03";"28";"43";"F";"Hispanic";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"643";"5724acebe012c327aa47076e9b368b01";"17";"45";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"644";"4abb356c7b8460ebf96ff801d6539873";"12";"35";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"645";"67adcb947952ebfc887ee1fc2bfe8ff1";"19";"42";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"646";"e513b0ae519962f6bf05908e0d1fc231";"39";"61";"M";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"647";"dc118a209a40caada56056137c895214";"38";"61";"M";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";""
"648";"7da9570937302f141ec163ec132aaeee";"37";"59";"M";"Black / African American";"FOB - Field Operations Bureau";"Eighth District";"A Platoon";""
"649";"19e2b69f0a2d5c399745044182ba5daf";"28";"53";"M";"White";"FOB - Field Operations Bureau";"Fifth District";"A Platoon";""
"650";"4bcfe7e0d852fb0263bda126ee38cc02";"36";"59";"M";"White";"FOB - Field Operations Bureau";"Eighth District";"D.I.U.";"Staff"
"651";"486265bdf446a7dcf038f04c764aa0e4";"38";"59";"M";"Black / African American";"FOB - Field Operations Bureau";"Police Recruits";"";""
"652";"98b6aecaab6987d33943e36b18349225";"32";"55";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"653";"1fc92a728e4315a96a8a01fb21870e23";"34";"55";"M";"Black / African American";"FOB - Field Operations Bureau";"Third District";"A Platoon";""
"654";"35225323abe43b8394b137f261ad33db";"22";"53";"M";"White";"FOB - Field Operations Bureau";"Third District";"B Platoon";""
"655";"78cceeff8e03649ad33d98001e7c9512";"37";"60";"M";"White";"FOB - Field Operations Bureau";"Fifth District";"Staff";""
"656";"b36b98249288528240bfd8689d2880a5";"34";"52";"M";"White";"FOB - Field Operations Bureau";"Special Operations Division";"Tactical Section";"Admin Unit"
"657";"ad686864273d459cbfcb2fff978a369a";"44";"66";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"658";"1247bfa11b538f8f1827d201a0f958ae";"38";"68";"M";"Black / African American";"FOB - Field Operations Bureau";"Third District";"Staff";""
"659";"d4a49f12191398623510e3fe803ae95e";"45";"67";"M";"White";"Office of the Superintendant";"NULL";"NULL";"NULL"
"660";"f483340a3a547b52e0ee48f250746f5c";"35";"66";"F";"White";"PIB - Public Integrity Bureau";"Staff Programs Unit";"Staff Programs Unit";""
"661";"fe82aeda3bb8c4f8bedc8ba81f5968d6";"22";"48";"M";"Black / African American";"FOB - Field Operations Bureau";"Fourth District";"Staff";""
"662";"c03970de040f820beea6d45898441a3f";"38";"62";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"663";"5cf50fd683c1d63d4db87b68034bc109";"37";"61";"M";"White";"Office of the Superintendant";"Technology Section";"Administration";""
"664";"03cb042546d20515af4dea9b25389a9f";"47";"66";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"665";"1a34d2b65a9625239d689b8a4b47048e";"22";"44";"M";"Black / African American";"MSB - Management Service Bureau";"Education/Training & Recruitment Division";"Training Section";"Staff"
"666";"18dd3dca4b5078abba7af8429aa6020d";"49";"71";"M";"White";"NULL";"NULL";"NULL";"NULL"
"667";"c2cfa8614c057405b00a965305a1d77b";"22";"49";"M";"Hispanic";"FOB - Field Operations Bureau";"First District";"Staff";""
"668";"21971a296f273bf132e193f4520d4294";"37";"64";"F";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"669";"f4d13e9e5d7609d6921cd768b1f18910";"38";"61";"M";"Black / African American";"FOB - Field Operations Bureau";"Fourth District";"3rd Platoon";""
"670";"89f24b910a796b39e42114cca3f2b273";"44";"66";"M";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"671";"fae9a06f007a012f8ddd28c663c4c572";"42";"75";"M";"White";"NULL";"NULL";"NULL";"NULL"
"672";"2035d01db89380324a03416a3401cc82";"45";"70";"M";"White";"FOB - Field Operations Bureau";"Fourth District";"Staff";""
"673";"b5ee7f6e4edea24540ccff4c9c1a4fc2";"24";"52";"F";"Black / African American";"PIB - Public Integrity Bureau";"Administrative Investigation Section";"Administrative Investigation Section";""
"674";"44014eaa19f1aef8e92b1020c47d662b";"34";"52";"M";"Black / African American";"MSB - Management Service Bureau";"Staff";"";""
"675";"26f78f540ed0187cd7e12e73a765b912";"35";"57";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"676";"3b38ca19be07c7ac369a8f57d9a4bc45";"47";"69";"M";"Black / African American";"PIB - Public Integrity Bureau";"NULL";"NULL";"NULL"
"677";"2278830fa828834f82d58334eabafde9";"44";"69";"M";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"678";"d191d223885adbad178c706b02fce809";"50";"71";"M";"White";"NULL";"NULL";"NULL";"NULL"
"679";"9045213156b8d50d1675bdcfca2467a7";"49";"74";"M";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"680";"7aba4613cd58ffe62c9fabb428c3793a";"51";"73";"M";"White";"NULL";"NULL";"NULL";"NULL"
"681";"e0a94ac581ce0ab8beceb10d69c1f856";"31";"56";"M";"Black / African American";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Admin"
"682";"d34521c2879283a935e3fdb5cc47f0e3";"37";"60";"M";"White";"FOB - Field Operations Bureau";"Second District";"Staff";""
"683";"56a0d0cf7a4e74eadd007d97d5db870f";"46";"71";"M";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"684";"111a3cd739507e1179a6238bb55d1254";"38";"62";"M";"Black / African American";"FOB - Field Operations Bureau";"First District";"1st Platoon";""
"685";"036889de9a226329110ae82e21fd809d";"40";"58";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"686";"bfd2cc5411b34f6f2e658d6561103878";"30";"51";"M";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"687";"a35cdd1f19fbe825c39be5cd2be85d42";"40";"58";"M";"White";"FOB - Field Operations Bureau";"Seventh District";"Staff";""
"688";"dfdb63679e3d87ddb888407a4490a794";"49";"70";"M";"White";"FOB - Field Operations Bureau";"Third District";"Staff";""
"689";"9a63350a2b9a3c66efdacbf0252fee71";"31";"56";"M";"White";"FOB - Field Operations Bureau";"Third District";"Staff";""
"690";"0d21e25bc42c969143d8d362c744ae06";"48";"66";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"691";"31f8e25e68a94fce7607ac0b7e9afa82";"42";"64";"M";"White";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"692";"22c7b9e96a1f1a8c4a13dc8b6586dc80";"29";"56";"M";"Black / African American";"FOB - Field Operations Bureau";"Third District";"A Platoon";""
"693";"988d4e086adb7e0f3e2db2de485d8128";"40";"59";"M";"Black / African American";"FOB - Field Operations Bureau";"Third District";"Staff";""
"694";"f0a6147ab1234b19e7eab75dada78321";"22";"47";"F";"White";"PIB - Public Integrity Bureau";"Staff";"Staff";""
"695";"79e45e1d5f262c0254744dd752dba4e4";"44";"68";"M";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"696";"1ab22b8305814ca70249c9cf695de378";"22";"46";"M";"White";"FOB - Field Operations Bureau";"First District";"Staff";""
"697";"2d6475aaf54bf92b25f86d8de77f3824";"46";"66";"M";"White";"FOB - Field Operations Bureau";"First District";"Staff";""
"698";"aa945d05c992fcdb745752143342acd3";"36";"67";"F";"White";"PIB - Public Integrity Bureau";"NULL";"NULL";"NULL"
"699";"7b227b335ec530ad36de50303da96ef2";"50";"71";"M";"White";"NULL";"NULL";"NULL";"NULL"
"700";"51465273097370367115dfe0228831f3";"44";"62";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"701";"0a212d8b3bf74fd45780c8df568d9407";"35";"59";"F";"Black / African American";"FOB - Field Operations Bureau";"Third District";"Staff";""
"702";"5fbba3402240513b2e73daa8eb6425b0";"36";"57";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"I.O.D.";""
"703";"6892d95b9069f7ad34cd325665c52f5e";"32";"54";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"704";"cf109df37097b3e8513499b1222a0ca3";"44";"63";"M";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"705";"ca8976dd152f60501dd3b653f90b8fe6";"50";"71";"M";"White";"NULL";"NULL";"NULL";"NULL"
"706";"f6aed0d4654c9619dc37d40221e83612";"22";"43";"M";"White";"FOB - Field Operations Bureau";"Third District";"Staff";""
"707";"34679dc917c6e0bf13ae461539fbce39";"46";"74";"M";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"708";"7a3a43c81a1e15e136c78837a6a7f84b";"48";"67";"M";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"709";"8bd4caa221a7fae209b1e87747dffa40";"32";"55";"M";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";""
"710";"5ae4665c302490ad67dd4ff21add7fbc";"50";"69";"M";"White";"NULL";"NULL";"NULL";"NULL"
"711";"73db919daa0b340d7f8f3ffe9ddd54ba";"49";"70";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"712";"c13d7bf2eabab88f12ec7dd7d5db1fa5";"28";"53";"M";"White";"PIB - Public Integrity Bureau";"Force Investigation Team";"Force Investigation Team";""
"713";"c8af348cd448114c8eb9bdd9e79189bd";"48";"77";"M";"White";"NULL";"NULL";"NULL";"NULL"
"714";"1ca78180d8528ea0a2e5807559c93229";"43";"63";"M";"Hispanic";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"715";"dadcefecebdb7b7e52fe00b6d1c2d36d";"37";"58";"M";"White";"PIB - Public Integrity Bureau";"NULL";"NULL";"NULL"
"716";"13d94d89c771d00b29ac574f6a3ebaf6";"36";"57";"M";"White";"PIB - Public Integrity Bureau";"Special Investigation Section";"Special Investigation Section";""
"717";"dce35fddfb80e9f31fd78b3eda40fd43";"22";"44";"M";"White";"FOB - Field Operations Bureau";"First District";"Staff";""
"718";"04a929519ddc9d38165d4a274d9e5c42";"38";"60";"F";"White";"Office of the Superintendant";"NULL";"NULL";"NULL"
"719";"23e197253dabbd05670a185f78c3e5f1";"28";"51";"M";"White";"FOB - Field Operations Bureau";"First District";"1st Platoon";""
"720";"fa62cd85e59308c259b6fa773a2ce574";"25";"50";"F";"Black / African American";"FOB - Field Operations Bureau";"Seventh District";"Day Watch";""
"721";"3c4fe02fa40be715e379b382b3c745cb";"40";"63";"M";"Black / African American";"PIB - Public Integrity Bureau";"NULL";"NULL";"NULL"
"722";"cb54145853c527a31b7acc9a994facae";"47";"68";"M";"White";"FOB - Field Operations Bureau";"Second District";"Staff";""
"723";"38c0df1102d6800c82d8e70982583bee";"28";"68";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";""
"724";"1a9308c2af27d45eac58ef077e87e1b1";"38";"68";"M";"White";"FOB - Field Operations Bureau";"Fourth District";"Staff";""
"725";"269ab298f76c00c6b7b2d6e2c197e84d";"50";"71";"M";"White";"NULL";"NULL";"NULL";"NULL"
"726";"894c1d8c8ca50635831647789f4a64a7";"52";"74";"M";"White";"FOB - Field Operations Bureau";"First District";"Staff";""
"727";"b07c84bcee34ed4c858fe3c9a946b180";"31";"61";"M";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"728";"a7489b9f6a8ba59cb7eb12fc60f16dd1";"26";"48";"M";"Black / African American";"NULL";"NULL";"NULL";"NULL"
"729";"ca106ae5db76a6f74e579a8e1d5bd435";"54";"74";"M";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"730";"b8f4a986f8e330610a7ea8fc5f0dc038";"35";"58";"M";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"731";"53d432e634be55f2bdb507cec34513e4";"29";"59";"M";"White";"FOB - Field Operations Bureau";"Eighth District";"A Platoon";""
"732";"95631dceecede749f7d617224075ade0";"50";"69";"M";"Black / African American";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";""
"733";"eeb740c0a8ad3a54d1b160ba3bf8c9fc";"35";"56";"M";"Black / African American";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Sex Crimes Staff"
"734";"5e4efd6b3b5b30c5eb73e25d863424bf";"31";"55";"M";"Black / African American";"FOB - Field Operations Bureau";"Second District";"Staff";""
"735";"97c8c2dd0526cc892736ab5e6b480f91";"30";"52";"M";"White";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";""
"736";"6098268e5723def57cf4f4c1c501805e";"35";"56";"M";"White";"FOB - Field Operations Bureau";"Eighth District";"Temporary";""
"737";"f61bd704f5c39bd8826912d8a8384cdb";"31";"51";"M";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"738";"f7783fc3ee9f29933ddb6b84b210f0f6";"32";"54";"M";"White";"Compliance Bureau";"Consent Decree";"";""
"739";"fe3a1ba71c3ff8d4622bfe0cc6ce3b75";"28";"50";"M";"Black / African American";"Office of the Superintendant";"Office of the Superintendant";"Unknown";""
"740";"145681371a5a670c08a29b927e4a322f";"27";"48";"M";"White";"FOB - Field Operations Bureau";"Reserve Division";"";""
"741";"c0727f9380f41ed2ffad3ebca705b630";"52";"76";"M";"Hispanic";"NULL";"NULL";"NULL";"NULL"
"742";"f0f12367a5beee1f65d2633294474dc9";"43";"64";"M";"White";"FOB - Field Operations Bureau";"Fifth District";"C Platoon";""
"743";"9dd6922757c8709f450436588d737364";"27";"54";"M";"Black / African American";"Compliance Bureau";"Consent Decree";"";""
"744";"2537ab5d3dd8ae3b7bd42ab5b4d0baf5";"45";"70";"F";"White";"NULL";"NULL";"NULL";"NULL"
"745";"8a2dc44f07434c82fd9d1e565d3c6224";"49";"74";"M";"White";"NULL";"NULL";"NULL";"NULL"
"746";"5c4af1bd0a2f73d4b58bcf61c7d5200f";"22";"43";"M";"White";"FOB - Field Operations Bureau";"Staff";"";""
"747";"bec00409621ad55da5d12b0a33d54ed0";"44";"71";"M";"Hispanic";"FOB - Field Operations Bureau";"Third District";"Staff";""
"748";"a817a30416161f0fbcabc63b9db6a68b";"32";"60";"M";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Limited Duty";""
"749";"9c1f084a54686e3cf21539265b9bcccd";"34";"58";"M";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
